Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System,Polycrystalline Dielectric Constant
mp-10616,BaLiAs,P6m2,-0.947,0,0.593,TRUE,83.027,3,FALSE,,4.384,hexagonal," 10.256426333333337,"
mp-11790,LaCuSe2,P21/c,-1.335,0,0.871,TRUE,375.895,16,FALSE,,6.368,monoclinic," 10.59252966666667,"
mp-27438,TlBiTe2,R3m,-0.313,0,0.415,TRUE,146.233,4,FALSE,,7.592,trigonal," 24.05872333333336,"
mp-1018630,Ca(BeAs)2,P3m1,-0.612,0,0.696,TRUE,89.403,5,FALSE,,3.862,trigonal," 10.318091358168143,"
mp-552,Th3Sb4,I43d,-0.928,0,0.173,TRUE,422.248,14,FALSE,,9.306,cubic," 34.67394799999998,"
mp-8612,Sb2TeSe2,R3m,-0.225,0,0.481,TRUE,152.588,5,FALSE,,5.757,trigonal," 25.79655999999999,"
mp-10288,LaCuTeS,P21/c,-1.496,0,0.577,TRUE,379.627,16,FALSE,,6.336,monoclinic," 12.319884333333333,"
mp-867507,TaGaFe2,Fm3m,-0.315,0,0.06,TRUE,50.995,4,TRUE,,11.799,cubic," 40.29237000000007,"
mp-1191203,CuNiSbS3,P212121,-0.633,0,0.421,TRUE,455.947,24,FALSE,,4.956,orthorhombic," 22.523981000000003,"
mp-1214786,AsRuS,P21/c,-0.724,0,0.94,FALSE,198.786,12,TRUE,,6.952,monoclinic," 20.069440999999998,"
mp-1219132,Re2MoSe4,P1,-0.465,0,1.052,FALSE,303.605,14,TRUE,,8.578,triclinic," 13.298215999999998,"
mp-19238,Co(PtO2)3,Cmmm,-1.056,0,0.215,TRUE,463.821,40,FALSE,,10.6,orthorhombic," 15.857701666666662,"
mp-2894,ScSnAu,F43m,-0.767,0,0.171,TRUE,69.349,3,FALSE,,8.635,cubic," 21.086919999999974,"
mp-1227372,BiTeIr,P213,-0.232,0,0.474,FALSE,289.87,12,TRUE,,12.117,cubic," 27.832614999999993,"
